Sample 0,,Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 6,,Sample 7,,Sample 8,,Sample 9,,Sample 10,,blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
762,0.052041553468114,762,0.072584743832872,762,0.0930774005711416,762,0.110810653788673,762,0.118332199379485,762,0.118504784964137,762,0.106969516233028,762,0.100528756353894,762,0.0846234334681896,762,0.0793760350411805,762,0.079149231462032,762,0.0520774772444295
761,0.0524953276064386,761,0.0730214915216367,761,0.0940601750591692,761,0.111689085794622,761,0.119846325275295,761,0.120184475463264,761,0.1081756406129,761,0.101711866314848,761,0.0850642769105808,761,0.0795297384841338,761,0.0790170254538653,761,0.0522271867735178
760,0.0524292845318458,760,0.0735447096305212,760,0.0948627938927566,760,0.112874098495714,760,0.120959401400433,760,0.121121230894748,760,0.109189927564438,760,0.102066109129155,760,0.0856732492820598,760,0.0798640641900146,760,0.079436857179814,760,0.0521899661900792
759,0.0522459880298308,759,0.0737390620738157,759,0.0950836817274597,759,0.114013884354635,759,0.122340154524656,759,0.122440656405985,759,0.110474747034636,759,0.103029028160608,759,0.0862865184816869,759,0.0799206295611325,759,0.0791829959426088,759,0.0519358713344958
758,0.0522383389733076,758,0.0744668540819165,758,0.0961013703231729,758,0.115125286843858,758,0.123725552412623,758,0.123684906250774,758,0.111257975251269,758,0.104124941437498,758,0.0870156729241553,758,0.0801632783869718,758,0.0798265135819329,758,0.0525246865540591
757,0.052309316882424,757,0.0748116337510034,757,0.09699456481066,757,0.11620019813532,757,0.124453662955511,757,0.124784759653207,757,0.111927410806886,757,0.104601258374588,757,0.0876898219975426,757,0.0804040069072881,757,0.0797001657853339,757,0.0520330909475806
756,0.0521136666685574,756,0.0751502243080261,756,0.0974756595729179,756,0.117590006715423,756,0.126201874170113,756,0.125847870829363,756,0.112783236695323,756,0.10527627097885,756,0.0880081098585339,756,0.0806372640053977,756,0.0800824633876256,756,0.0520683136268045
755,0.0525885819892241,755,0.0756487458155437,755,0.0985550652011842,755,0.118379928956664,755,0.127460642162468,755,0.126781788114612,755,0.114023947981362,755,0.106183729679136,755,0.0887197770511387,755,0.0810135561163578,755,0.0801605075159232,755,0.0519587445797138
754,0.0525820079509466,754,0.0761671508488769,754,0.0993332744531473,754,0.119877812050599,754,0.128731181566305,754,0.128361717877639,754,0.11483377366089,754,0.107177830818804,754,0.0890353255458552,754,0.0817360285482907,754,0.080233490063824,754,0.0521424160620538
753,0.0522409956914103,753,0.0765423668060249,753,0.100322008015298,753,0.121400118620307,753,0.13004630678448,753,0.129599104481077,753,0.115827617316482,753,0.108011591879002,753,0.0897320653459649,753,0.0815350667489749,753,0.0801744554507952,753,0.0523282092966477
752,0.0521854999344227,752,0.0768278381127815,752,0.100965541297409,752,0.122244958248904,752,0.131331904926434,752,0.130224100906368,752,0.116813442423133,752,0.108424504712329,752,0.0902874842295352,752,0.0819260796840966,752,0.0801893067577868,752,0.0523497015120746
751,0.0521596082330579,751,0.0772360639874823,751,0.101991917768878,751,0.123501099567379,751,0.132845651762287,751,0.13231428160272,751,0.117876143397141,751,0.109260232110521,751,0.0911050565360221,751,0.082459517064082,751,0.0805537431925557,751,0.0522213772331498
