s.1,,Sample 6,,Sample 10,,Blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
773,0.0416491329002519,773,0.0419771640933906,773,0.931800591917513,773,0.0458808806125865
772,0.0418082294355467,772,0.0425597598457444,772,0.928663912724149,772,0.0460771675890285
771,0.0417322502209828,771,0.0419323726179359,771,0.925532634135304,771,0.0455156219119317
770,0.0420328533816111,770,0.0424690051040648,770,0.922251567043125,770,0.0457065959767791
769,0.0419867160240795,769,0.0422504607930472,769,0.920191589847514,769,0.0455088953595054
768,0.041858110490938,768,0.0421992223895924,768,0.917899518709927,768,0.046257561621765
767,0.0422510599415391,767,0.0424974085284538,767,0.913778368700814,767,0.0456915841339635
766,0.0424544758292561,766,0.0433532079314027,766,0.910805032280319,766,0.0461978154332854
765,0.0426613854111851,765,0.043253908287968,765,0.90801936453643,765,0.0467656354516005
764,0.0418595072429456,764,0.0421815071765179,764,0.905103528098537,764,0.0456575362067539
763,0.041046388756663,763,0.0417465273712339,763,0.900088807149997,763,0.0451146255020325
762,0.0418713085514699,762,0.0423325233015584,762,0.896893605683159,762,0.0458281477443258
761,0.0419144117070973,761,0.0425154221149771,761,0.89221170200489,761,0.0456539705309507
760,0.0417090259194179,760,0.0423904842978895,760,0.889107812972419,760,0.0457337451482299
759,0.0419325436778005,759,0.0421760301554343,759,0.886788658351181,759,0.0456460916414572
758,0.0418544333489697,758,0.0425077426975012,758,0.88135448752826,758,0.045863820124215
757,0.0420818190905286,757,0.0425346069780081,757,0.877463180097393,757,0.0456297017088552
756,0.0423636574689639,756,0.0426952849249812,756,0.873926637565731,756,0.0459759195097853
755,0.0423121203603115,755,0.0427172196345106,755,0.870237951243304,755,0.0458432793798906
754,0.0423387442491515,754,0.0430478024505718,754,0.866408395182887,754,0.0459236066988016
753,0.0419988344474403,753,0.042735156652645,753,0.86133301787454,753,0.0458763061494405
752,0.0419722599001516,752,0.0428090832652453,752,0.857120102234017,752,0.0458320888229655
751,0.0422149413237949,751,0.0424396045208994,751,0.853053997054354,751,0.0457052155557759
750,0.0418499581096631,750,0.0431065164972499,750,0.847814878519975,750,0.0457282231453575
749,0.0420476822505499,749,0.0424963237404394,749,0.843365883563216,749,0.0457849420595493
748,0.0420800793871792,748,0.0424139163202302,748,0.840292552278334,748,0.045349472071286
747,0.0421358674445612,747,0.0422360814772111,747,0.834022347553423,747,0.0452643955436837
746,0.0419529287940937,746,0.0426300300026901,746,0.829176060536005,746,0.0453431791129589
745,0.0418888400728399,745,0.0424885019281207,745,0.824785546215687,745,0.0455743255648289
744,0.0419696082373393,744,0.0425304387660613,744,0.820117708010408,744,0.045445774328257
743,0.0418903794597346,743,0.0426173799642111,743,0.81535772958771,743,0.045523325954669
742,0.0415230483382668,742,0.0427818306461032,742,0.81053948299263,742,0.0455016802417303
741,0.0421334144447908,741,0.042381751126978,741,0.805242630255648,741,0.0453473169383045
740,0.0415574857880713,740,0.0423654268470616,740,0.799888671411176,740,0.0450571900136261
739,0.0416692767760007,739,0.04198534737634,739,0.794378126422646,739,0.0449032716451784
738,0.0418876142686595,738,0.0420422069169029,738,0.788738202851435,738,0.0447215166755461
