Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 0,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
769,0.0629094981455543,769,0.0768411850824574,769,0.0782062229187005,769,0.0993743074552745,769,0.110412323327455,769,0.052630424422897
768,0.0633623767973473,768,0.0772844942086058,768,0.0788320915358754,768,0.100315876875664,768,0.111361966096238,768,0.052671277280238
767,0.0633610289564436,767,0.07758301904558,767,0.0792830623178431,767,0.101146031021379,767,0.112424405973606,767,0.0528612438625655
766,0.0641367286053613,766,0.0784646616242949,766,0.0803753180197564,766,0.102246827613987,766,0.113290453007959,766,0.0533039056194686
765,0.0645655991381494,765,0.078961540114027,765,0.0810440342082519,765,0.103666794381431,765,0.114868608669959,765,0.0531151787792311
764,0.0634431650345812,764,0.0788726913972454,764,0.0806027318112814,764,0.103272398531926,764,0.114599814166315,764,0.0523926015190198
763,0.0632384827716966,763,0.0786388286431186,763,0.0810414760876054,763,0.103527042805236,763,0.115203342497021,763,0.0516770558255571
762,0.0641229262859211,762,0.0792496007373568,762,0.082194061484768,762,0.104771964235638,762,0.117221352069457,762,0.0520962720205703
761,0.0647863836730465,761,0.0799552320337223,761,0.0828305630969516,761,0.106010287289957,761,0.117792513193399,761,0.0520777107149203
760,0.0646628338497365,760,0.0802824737111561,760,0.0834171804139477,760,0.106894350100531,760,0.119136517424622,760,0.0521577984987973
759,0.0648432428226969,759,0.0808125541119354,759,0.0843919244557951,759,0.107981783563132,759,0.120216533026807,759,0.0521327548860365
758,0.0651260563648952,758,0.0813456861030169,758,0.0849499948203655,758,0.108731063944272,758,0.121544749409805,758,0.0526055580772209
757,0.0651453041193435,757,0.0820399751965056,757,0.085838660843136,757,0.10968239852657,757,0.122683514699729,757,0.0522262817646317
756,0.0655895326365135,756,0.0824584842138394,756,0.086495598947658,756,0.110712573422337,756,0.123774911122332,756,0.0524623486282618
755,0.0657254225508001,755,0.0826657294266508,755,0.0873903805100092,755,0.111837215678469,755,0.125217497130785,755,0.0525999772246458
754,0.0660543177887897,754,0.0838611336308232,754,0.0880687580450134,754,0.112940838812489,754,0.126327649241767,754,0.0527049150996801
753,0.0664520541594627,753,0.0843870201393357,753,0.0889922711490868,753,0.113645863949695,753,0.127170204188665,753,0.052706347175878
752,0.0663739917935465,752,0.0842139583822331,752,0.0896474454460351,752,0.114537502411146,752,0.129045068844503,752,0.0526346614862782
751,0.0668574620268843,751,0.0849746117266117,751,0.0906661110619579,751,0.11572974910423,751,0.129893406175623,751,0.0525160977610182
750,0.06709551703914,750,0.0855622428394136,750,0.0914037163912678,750,0.116593954751836,750,0.131247639424921,750,0.0524396240936063
749,0.0673867848422379,749,0.0860986530183317,749,0.0916828556246821,749,0.117337599858939,749,0.132567116842367,749,0.0522516227263439
748,0.0674558074911789,748,0.0866105729250719,748,0.0929159422028581,748,0.11861120612034,748,0.13360662098736,748,0.0525460716338727
747,0.0679089445614901,747,0.0869250664124726,747,0.0933556281595907,747,0.120152147175325,747,0.134702094403417,747,0.0522528197438264
746,0.067649449929374,746,0.0872915936525485,746,0.0947814831486081,746,0.120613300370844,746,0.135885491641637,746,0.0523277420863852
745,0.0680436548369836,745,0.0883289787581129,745,0.0955206985422552,745,0.122206165318979,745,0.138317136305109,745,0.0524370829920538
744,0.068440975575434,744,0.0885911013756633,744,0.0959156361603182,744,0.123703903813979,744,0.139251068732919,744,0.052453615022466
743,0.0690163518415336,743,0.0891583480100848,743,0.0972691610209111,743,0.124909055045597,743,0.141261245272347,743,0.0523038858304247
742,0.0690713700038297,742,0.0898661734405757,742,0.0978199773167507,742,0.125705637990821,742,0.142206529375519,742,0.0525656755487954
741,0.0697414026342326,741,0.0907609469800134,741,0.0986411464174034,741,0.12656565869942,741,0.143074338179214,741,0.0523745532120982
740,0.0695719517439662,740,0.0911345269277093,740,0.0994440171279808,740,0.128016760597176,740,0.144958169128409,740,0.052335421918847
739,0.0696681866323711,739,0.0915305436608407,739,0.100144696489154,739,0.129067020183127,739,0.146784181251293,739,0.052116847979876
738,0.06988273317723,738,0.0918883456440897,738,0.101278023837342,738,0.129990852705974,738,0.148090773920228,738,0.0520525841734654
737,0.0700455528669153,737,0.0924894165731975,737,0.102062474570466,737,0.131396358406242,737,0.149162095563897,737,0.0520276925292509
736,0.0701764854378359,736,0.0928172047988919,736,0.102431226175053,736,0.132093171448927,736,0.150390994091683,736,0.0513888188304308
735,0.0700485945326761,735,0.0933639405123168,735,0.103251089149868,735,0.13365063622559,735,0.151800392158192,735,0.0511680996081743
734,0.0700699780442793,734,0.093749114886769,734,0.103673728913043,734,0.134445473480114,734,0.152963152804776,734,0.0508232774564642
733,0.0695381059555674,733,0.0934724971132108,733,0.104290885338125,733,0.135207203798649,733,0.154360290121932,733,0.0506516525657418
732,0.0699139603887973,732,0.0941246643740867,732,0.104720040416251,732,0.135964006292814,732,0.155751339476952,732,0.0498582131883402
731,0.0693286792436091,731,0.0941584559690886,731,0.105225935981253,731,0.137003946566796,731,0.156512357125474,731,0.0492837572954755
730,0.0690932517507575,730,0.0940237875084852,730,0.105997533019262,730,0.138097574430485,730,0.158039447700981,730,0.0485284132788029
729,0.0690810209019451,729,0.0945342953861172,729,0.10655778527986,729,0.138752994682181,729,0.159523448046848,729,0.0480707532278877
728,0.0688635332099363,728,0.0948367083915709,728,0.107069239052205,728,0.139856042288181,728,0.160751625105856,728,0.0475780762786254
727,0.0689352484205011,727,0.0950091271739093,727,0.107853710752781,727,0.140924011371019,727,0.161781823450936,727,0.047232743896537
726,0.0688442412914505,726,0.0958834830261097,726,0.108807712633579,726,0.142175033419884,726,0.163670230774189,726,0.0468294676178316
725,0.069233825016027,725,0.0962656329908747,725,0.110079626165825,725,0.143536397735907,725,0.165803934244293,725,0.0467781762613134
724,0.0693328394582864,724,0.0969121421341699,724,0.11093111315285,724,0.14500750694254,724,0.167083608011868,724,0.0467776573240739
723,0.0695465215829528,723,0.0973137240077308,723,0.111825695629808,723,0.146330402370177,723,0.168984297897057,723,0.0464351787037625
722,0.0697105525442497,722,0.0981380565468337,722,0.113157849292997,722,0.147917304674629,722,0.171278871873321,722,0.0461867596904719
721,0.0701494073889259,721,0.0985252168691136,721,0.113885029959307,721,0.149001586258337,721,0.172804727523892,721,0.0459688980623249
