nm,INT
500.0,58
500.1,56
500.2,55
500.3,54
500.4,53
500.5,52
500.6,51
500.7,50
500.8,49
500.9,48
501.0,47
501.1,47
501.2,46
501.3,45
501.4,44
501.5,43
501.6,42
501.7,40
501.8,39
501.9,38
502.0,37
502.1,35
502.2,34
502.3,33
502.4,31
502.5,30
502.6,29
502.7,28
502.8,27
502.9,26
503.0,26
503.1,25
503.2,25
503.3,25
503.4,25
503.5,26
503.6,26
503.7,27
503.8,28
503.9,29
504.0,30
504.1,32
504.2,34
504.3,35
504.4,37
504.5,40
504.6,42
504.7,44
504.8,47
504.9,49
505.0,52
505.1,54
505.2,56
505.3,59
505.4,61
505.5,63
505.6,65
505.7,67
505.8,68
505.9,69
506.0,71
506.1,72
506.2,73
506.3,74
506.4,75
506.5,75
506.6,76
506.7,77
506.8,77
506.9,78
507.0,78
507.1,79
507.2,79
507.3,79
507.4,79
507.5,79
507.6,78
507.7,78
507.8,77
507.9,76
508.0,75
508.1,75
508.2,73
508.3,72
508.4,71
508.5,69
508.6,68
508.7,66
508.8,64
508.9,62
509.0,60
509.1,57
509.2,54
509.3,52
509.4,49
509.5,46
509.6,43
509.7,40
509.8,37
509.9,34
510.0,31
510.1,29
510.2,26
510.3,24
510.4,21
510.5,19
510.6,17
510.7,16
510.8,14
510.9,13
511.0,12
511.1,11
511.2,10
511.3,9
511.4,8
511.5,7
511.6,7
511.7,6
511.8,5
511.9,5
512.0,4
512.1,4
512.2,3
512.3,3
512.4,3
512.5,3
512.6,4
512.7,4
512.8,5
512.9,6
513.0,7
513.1,8
513.2,9
513.3,11
513.4,12
513.5,13
513.6,15
513.7,16
513.8,17
513.9,18
514.0,19
514.1,21
514.2,22
514.3,23
514.4,24
514.5,25
514.6,26
514.7,27
514.8,28
514.9,28
515.0,29
515.1,29
515.2,29
515.3,30
515.4,30
515.5,30
515.6,30
515.7,31
515.8,31
515.9,32
516.0,33
516.1,34
516.2,35
516.3,36
516.4,38
516.5,40
516.6,42
516.7,44
516.8,46
516.9,49
517.0,51
517.1,54
517.2,56
517.3,59
517.4,61
517.5,64
517.6,66
517.7,68
517.8,71
517.9,73
518.0,76
518.1,78
518.2,81
518.3,84
518.4,87
518.5,90
518.6,93
518.7,97
518.8,100
518.9,104
519.0,107
519.1,111
519.2,115
519.3,119
519.4,123
519.5,127
519.6,131
519.7,136
519.8,140
519.9,144
520.0,149
520.1,153
520.2,158
520.3,162
520.4,166
520.5,171
520.6,174
520.7,178
520.8,182
520.9,186
521.0,189
521.1,192
521.2,194
521.3,197
521.4,199
521.5,200
521.6,202
521.7,203
521.8,205
521.9,206
522.0,207
522.1,209
522.2,210
522.3,212
522.4,213
522.5,215
522.6,216
522.7,218
522.8,220
522.9,221
523.0,222
523.1,224
523.2,225
523.3,226
523.4,227
523.5,227
523.6,228
523.7,229
523.8,230
523.9,231
524.0,232
524.1,233
524.2,235
524.3,236
524.4,238
524.5,240
524.6,242
524.7,245
524.8,248
524.9,251
525.0,255
525.1,258
525.2,262
525.3,266
525.4,271
525.5,275
525.6,280
525.7,285
525.8,289
525.9,294
526.0,300
526.1,305
526.2,311
526.3,317
526.4,323
526.5,330
526.6,337
526.7,344
526.8,351
526.9,359
527.0,367
527.1,376
527.2,385
527.3,394
527.4,403
527.5,412
527.6,422
527.7,432
527.8,442
527.9,453
528.0,464
528.1,476
528.2,487
528.3,498
528.4,510
528.5,523
528.6,536
528.7,549
528.8,563
528.9,576
529.0,589
529.1,603
529.2,617
529.3,631
529.4,645
529.5,660
529.6,675
529.7,690
529.8,704
529.9,719
530.0,734
530.1,750
530.2,767
530.3,783
530.4,799
530.5,816
530.6,832
530.7,848
530.8,864
530.9,880
531.0,896
531.1,911
531.2,926
531.3,941
531.4,955
531.5,969
531.6,983
531.7,996
531.8,1010
531.9,1023
532.0,1036
532.1,1048
532.2,1060
532.3,1072
532.4,1083
532.5,1094
532.6,1104
532.7,1115
532.8,1124
532.9,1133
533.0,1142
533.1,1151
533.2,1159
533.3,1166
533.4,1172
533.5,1178
533.6,1183
533.7,1187
533.8,1191
533.9,1194
534.0,1197
534.1,1200
534.2,1202
534.3,1205
534.4,1208
534.5,1210
534.6,1213
534.7,1216
534.8,1218
534.9,1221
535.0,1224
535.1,1226
535.2,1229
535.3,1231
535.4,1234
535.5,1238
535.6,1241
535.7,1245
535.8,1250
535.9,1255
536.0,1261
536.1,1267
536.2,1274
536.3,1281
536.4,1289
536.5,1297
536.6,1306
536.7,1316
536.8,1325
536.9,1335
537.0,1345
537.1,1354
537.2,1365
537.3,1375
537.4,1386
537.5,1397
537.6,1407
537.7,1417
537.8,1428
537.9,1440
538.0,1451
538.1,1462
538.2,1474
538.3,1487
538.4,1500
538.5,1513
538.6,1526
538.7,1540
538.8,1555
538.9,1569
539.0,1585
539.1,1600
539.2,1614
539.3,1629
539.4,1644
539.5,1658
539.6,1672
539.7,1686
539.8,1699
539.9,1712
540.0,1725
540.1,1737
540.2,1750
540.3,1762
540.4,1774
540.5,1787
540.6,1799
540.7,1812
540.8,1825
540.9,1837
541.0,1850
541.1,1863
541.2,1875
541.3,1888
541.4,1900
541.5,1911
541.6,1922
541.7,1933
541.8,1943
541.9,1953
542.0,1963
542.1,1972
542.2,1981
542.3,1990
542.4,1999
542.5,2008
542.6,2017
542.7,2026
542.8,2035
542.9,2044
543.0,2053
543.1,2063
543.2,2074
543.3,2084
543.4,2094
543.5,2105
543.6,2116
543.7,2126
543.8,2135
543.9,2145
544.0,2155
544.1,2164
544.2,2173
544.3,2182
544.4,2190
544.5,2199
544.6,2208
544.7,2218
544.8,2229
544.9,2240
545.0,2252
545.1,2264
545.2,2276
545.3,2289
545.4,2302
545.5,2315
545.6,2329
545.7,2342
545.8,2356
545.9,2369
546.0,2383
546.1,2396
546.2,2410
546.3,2424
546.4,2438
546.5,2453
546.6,2469
546.7,2485
546.8,2501
546.9,2518
547.0,2535
547.1,2554
547.2,2573
547.3,2593
547.4,2613
547.5,2634
547.6,2656
547.7,2678
547.8,2702
547.9,2726
548.0,2749
548.1,2773
548.2,2796
548.3,2822
548.4,2847
548.5,2871
548.6,2895
548.7,2920
548.8,2945
548.9,2971
549.0,2998
549.1,3025
549.2,3053
549.3,3081
549.4,3110
549.5,3139
549.6,3169
549.7,3198
549.8,3227
549.9,3255
550.0,3282
550.1,3308
550.2,3336
550.3,3362
550.4,3388
550.5,3414
550.6,3439
550.7,3465
550.8,3492
550.9,3519
551.0,3545
551.1,3573
551.2,3600
551.3,3628
551.4,3657
551.5,3686
551.6,3715
551.7,3744
551.8,3773
551.9,3803
552.0,3833
552.1,3865
552.2,3895
552.3,3926
552.4,3957
552.5,3988
552.6,4021
552.7,4055
552.8,4090
552.9,4122
553.0,4156
553.1,4191
553.2,4226
553.3,4264
553.4,4303
553.5,4342
553.6,4382
553.7,4423
553.8,4464
553.9,4508
554.0,4551
554.1,4594
554.2,4638
554.3,4681
554.4,4725
554.5,4770
554.6,4814
554.7,4858
554.8,4903
554.9,4949
555.0,4996
555.1,5046
555.2,5097
555.3,5147
555.4,5198
555.5,5251
555.6,5306
555.7,5361
555.8,5415
555.9,5470
556.0,5525
556.1,5579
556.2,5634
556.3,5690
556.4,5747
556.5,5803
556.6,5858
556.7,5913
556.8,5968
556.9,6024
557.0,6081
557.1,6135
557.2,6195
557.3,6249
557.4,6302
557.5,6358
557.6,6413
557.7,6467
557.8,6521
557.9,6574
558.0,6627
558.1,6682
558.2,6737
558.3,6790
558.4,6842
558.5,6893
558.6,6944
558.7,6996
558.8,7047
558.9,7097
559.0,7146
559.1,7195
559.2,7244
559.3,7296
559.4,7347
559.5,7398
559.6,7449
559.7,7501
559.8,7553
559.9,7607
560.0,7661
560.1,7713
560.2,7765
560.3,7816
560.4,7868
560.5,7921
560.6,7975
560.7,8025
560.8,8077
560.9,8128
561.0,8180
561.1,8236
561.2,8292
561.3,8347
561.4,8402
561.5,8459
561.6,8522
561.7,8583
561.8,8646
561.9,8711
562.0,8774
562.1,8839
562.2,8905
562.3,8973
562.4,9044
562.5,9116
562.6,9187
562.7,9259
562.8,9331
562.9,9407
563.0,9483
563.1,9557
563.2,9632
563.3,9707
563.4,9784
563.5,9861
563.6,9943
563.7,10026
563.8,10107
563.9,10190
564.0,10274
564.1,10363
564.2,10452
564.3,10541
564.4,10630
564.5,10720
564.6,10810
564.7,10902
564.8,10996
564.9,11092
565.0,11185
565.1,11278
565.2,11372
565.3,11466
565.4,11563
565.5,11662
565.6,11758
565.7,11854
565.8,11950
565.9,12053
566.0,12156
566.1,12255
566.2,12350
566.3,12446
566.4,12541
566.5,12635
566.6,12733
566.7,12830
566.8,12923
566.9,13017
567.0,13110
