nm,INT
500.0,146
500.1,147
500.2,147
500.3,148
500.4,148
500.5,148
500.6,147
500.7,147
500.8,146
500.9,146
501.0,145
501.1,144
501.2,143
501.3,142
501.4,141
501.5,139
501.6,138
501.7,136
501.8,135
501.9,134
502.0,132
502.1,131
502.2,129
502.3,128
502.4,126
502.5,124
502.6,123
502.7,121
502.8,119
502.9,118
503.0,116
503.1,114
503.2,112
503.3,111
503.4,109
503.5,108
503.6,106
503.7,105
503.8,103
503.9,102
504.0,101
504.1,99
504.2,98
504.3,97
504.4,96
504.5,95
504.6,94
504.7,93
504.8,92
504.9,91
505.0,90
505.1,89
505.2,88
505.3,87
505.4,86
505.5,85
505.6,83
505.7,82
505.8,81
505.9,80
506.0,79
506.1,78
506.2,77
506.3,76
506.4,75
506.5,75
506.6,74
506.7,74
506.8,74
506.9,74
507.0,74
507.1,74
507.2,74
507.3,75
507.4,75
507.5,75
507.6,75
507.7,75
507.8,75
507.9,76
508.0,76
508.1,76
508.2,76
508.3,77
508.4,77
508.5,77
508.6,78
508.7,78
508.8,78
508.9,79
509.0,79
509.1,80
509.2,80
509.3,81
509.4,81
509.5,82
509.6,83
509.7,83
509.8,85
509.9,86
510.0,87
510.1,88
510.2,90
510.3,91
510.4,93
510.5,95
510.6,97
510.7,99
510.8,101
510.9,104
511.0,106
511.1,109
511.2,112
511.3,114
511.4,117
511.5,120
511.6,123
511.7,126
511.8,130
511.9,133
512.0,136
512.1,140
512.2,143
512.3,147
512.4,152
512.5,156
512.6,161
512.7,165
512.8,170
512.9,175
513.0,180
513.1,185
513.2,190
513.3,194
513.4,199
513.5,203
513.6,207
513.7,212
513.8,216
513.9,220
514.0,224
514.1,228
514.2,231
514.3,235
514.4,239
514.5,243
514.6,247
514.7,251
514.8,255
514.9,259
515.0,263
515.1,267
515.2,271
515.3,274
515.4,278
515.5,281
515.6,285
515.7,287
515.8,290
515.9,292
516.0,294
516.1,296
516.2,298
516.3,299
516.4,301
516.5,302
516.6,303
516.7,304
516.8,305
516.9,305
517.0,306
517.1,307
517.2,307
517.3,308
517.4,308
517.5,308
517.6,307
517.7,307
517.8,307
517.9,306
518.0,305
518.1,304
518.2,303
518.3,301
518.4,300
518.5,299
518.6,298
518.7,296
518.8,295
518.9,294
519.0,293
519.1,292
519.2,291
519.3,290
519.4,289
519.5,288
519.6,287
519.7,287
519.8,286
519.9,285
520.0,285
520.1,284
520.2,284
520.3,283
520.4,282
520.5,282
520.6,281
520.7,280
520.8,279
520.9,279
521.0,278
521.1,277
521.2,276
521.3,275
521.4,274
521.5,273
521.6,272
521.7,271
521.8,269
521.9,268
522.0,267
522.1,266
522.2,265
522.3,264
522.4,263
522.5,262
522.6,261
522.7,261
522.8,260
522.9,260
523.0,260
523.1,260
523.2,260
523.3,261
523.4,262
523.5,263
523.6,264
523.7,265
523.8,267
523.9,269
524.0,271
524.1,273
524.2,275
524.3,277
524.4,279
524.5,282
524.6,284
524.7,287
524.8,290
524.9,294
525.0,297
525.1,301
525.2,305
525.3,310
525.4,315
525.5,321
525.6,327
525.7,334
525.8,341
525.9,348
526.0,357
526.1,366
526.2,375
526.3,385
526.4,396
526.5,407
526.6,418
526.7,429
526.8,440
526.9,453
527.0,465
527.1,477
527.2,490
527.3,502
527.4,515
527.5,529
527.6,542
527.7,556
527.8,569
527.9,584
528.0,598
528.1,613
528.2,629
528.3,643
528.4,659
528.5,675
528.6,692
528.7,709
528.8,726
528.9,744
529.0,761
529.1,779
529.2,797
529.3,815
529.4,832
529.5,850
529.6,868
529.7,885
529.8,902
529.9,918
530.0,935
530.1,952
530.2,968
530.3,985
530.4,1001
530.5,1017
530.6,1033
530.7,1050
530.8,1066
530.9,1082
531.0,1098
531.1,1115
531.2,1131
531.3,1147
531.4,1163
531.5,1179
531.6,1195
531.7,1212
531.8,1228
531.9,1245
532.0,1261
532.1,1278
532.2,1294
532.3,1311
532.4,1327
532.5,1343
532.6,1360
532.7,1377
532.8,1393
532.9,1407
533.0,1423
533.1,1440
533.2,1455
533.3,1471
533.4,1487
533.5,1502
533.6,1517
533.7,1532
533.8,1547
533.9,1563
534.0,1578
534.1,1592
534.2,1607
534.3,1622
534.4,1636
534.5,1650
534.6,1665
534.7,1679
534.8,1694
534.9,1709
535.0,1724
535.1,1739
535.2,1754
535.3,1769
535.4,1785
535.5,1801
535.6,1816
535.7,1831
535.8,1846
535.9,1861
536.0,1875
536.1,1889
536.2,1903
536.3,1917
536.4,1931
536.5,1944
536.6,1958
536.7,1972
536.8,1985
536.9,1999
537.0,2013
537.1,2026
537.2,2040
537.3,2054
537.4,2069
537.5,2082
537.6,2095
537.7,2109
537.8,2123
537.9,2138
538.0,2152
538.1,2166
538.2,2180
538.3,2193
538.4,2208
538.5,2222
538.6,2236
538.7,2250
538.8,2264
538.9,2278
539.0,2292
539.1,2306
539.2,2319
539.3,2334
539.4,2348
539.5,2363
539.6,2378
539.7,2394
539.8,2409
539.9,2424
540.0,2440
540.1,2456
540.2,2472
540.3,2487
540.4,2502
540.5,2516
540.6,2531
540.7,2545
540.8,2559
540.9,2573
541.0,2587
541.1,2601
541.2,2616
541.3,2631
541.4,2646
541.5,2661
541.6,2676
541.7,2691
541.8,2706
541.9,2722
542.0,2738
542.1,2753
542.2,2768
542.3,2784
542.4,2801
542.5,2818
542.6,2835
542.7,2852
542.8,2869
542.9,2887
543.0,2905
543.1,2924
543.2,2944
543.3,2963
543.4,2983
543.5,3004
543.6,3026
543.7,3047
543.8,3068
543.9,3091
544.0,3115
544.1,3139
544.2,3165
544.3,3191
544.4,3216
544.5,3242
544.6,3269
544.7,3295
544.8,3323
544.9,3351
545.0,3378
545.1,3407
545.2,3436
545.3,3464
545.4,3494
545.5,3526
545.6,3559
545.7,3592
545.8,3627
545.9,3663
546.0,3701
546.1,3738
546.2,3776
546.3,3814
546.4,3853
546.5,3893
546.6,3933
546.7,3974
546.8,4014
546.9,4054
547.0,4094
547.1,4136
547.2,4178
547.3,4219
547.4,4261
547.5,4303
547.6,4345
547.7,4388
547.8,4433
547.9,4478
548.0,4522
548.1,4567
548.2,4613
548.3,4662
548.4,4711
548.5,4758
548.6,4805
548.7,4852
548.8,4899
548.9,4945
549.0,4993
549.1,5042
549.2,5089
549.3,5135
549.4,5182
549.5,5229
549.6,5278
549.7,5327
549.8,5375
549.9,5424
550.0,5473
550.1,5522
550.2,5573
550.3,5625
550.4,5675
550.5,5726
550.6,5777
550.7,5827
550.8,5879
550.9,5931
551.0,5983
551.1,6034
551.2,6086
551.3,6139
551.4,6194
551.5,6250
551.6,6306
551.7,6363
551.8,6422
551.9,6482
552.0,6545
