nm,INT
500.0,43
500.1,44
500.2,45
500.3,46
500.4,47
500.5,48
500.6,49
500.7,49
500.8,49
500.9,50
501.0,50
501.1,50
501.2,50
501.3,50
501.4,50
501.5,50
501.6,50
501.7,50
501.8,50
501.9,50
502.0,50
502.1,50
502.2,49
502.3,49
502.4,48
502.5,47
502.6,46
502.7,45
502.8,43
502.9,42
503.0,40
503.1,39
503.2,37
503.3,35
503.4,34
503.5,32
503.6,30
503.7,29
503.8,27
503.9,26
504.0,24
504.1,23
504.2,22
504.3,21
504.4,20
504.5,19
504.6,18
504.7,18
504.8,18
504.9,18
505.0,18
505.1,18
505.2,19
505.3,20
505.4,21
505.5,23
505.6,24
505.7,26
505.8,28
505.9,30
506.0,32
506.1,34
506.2,36
506.3,39
506.4,41
506.5,43
506.6,45
506.7,46
506.8,48
506.9,50
507.0,52
507.1,53
507.2,55
507.3,57
507.4,58
507.5,60
507.6,61
507.7,62
507.8,64
507.9,65
508.0,66
508.1,67
508.2,68
508.3,69
508.4,70
508.5,71
508.6,71
508.7,72
508.8,73
508.9,73
509.0,74
509.1,74
509.2,74
509.3,75
509.4,75
509.5,75
509.6,75
509.7,74
509.8,74
509.9,74
510.0,73
510.1,72
510.2,70
510.3,69
510.4,68
510.5,66
510.6,64
510.7,62
510.8,60
510.9,58
511.0,56
511.1,54
511.2,52
511.3,50
511.4,48
511.5,46
511.6,44
511.7,42
511.8,40
511.9,39
512.0,37
512.1,36
512.2,34
512.3,33
512.4,32
512.5,30
512.6,29
512.7,28
512.8,27
512.9,26
513.0,24
513.1,23
513.2,22
513.3,22
513.4,21
513.5,20
513.6,20
513.7,19
513.8,19
513.9,19
514.0,19
514.1,19
514.2,20
514.3,20
514.4,21
514.5,22
514.6,23
514.7,24
514.8,25
514.9,27
515.0,28
515.1,30
515.2,32
515.3,34
515.4,36
515.5,37
515.6,39
515.7,42
515.8,44
515.9,46
516.0,48
516.1,50
516.2,52
516.3,55
516.4,58
516.5,61
516.6,64
516.7,68
516.8,71
516.9,75
517.0,79
517.1,83
517.2,88
517.3,92
517.4,96
517.5,100
517.6,104
517.7,108
517.8,112
517.9,116
518.0,120
518.1,124
518.2,127
518.3,131
518.4,135
518.5,139
518.6,143
518.7,147
518.8,151
518.9,155
519.0,158
519.1,162
519.2,166
519.3,170
519.4,174
519.5,177
519.6,181
519.7,185
519.8,189
519.9,193
520.0,197
520.1,201
520.2,204
520.3,208
520.4,211
520.5,213
520.6,216
520.7,218
520.8,220
520.9,222
521.0,224
521.1,225
521.2,226
521.3,227
521.4,227
521.5,228
521.6,228
521.7,228
521.8,227
521.9,227
522.0,226
522.1,226
522.2,226
522.3,225
522.4,225
522.5,226
522.6,226
522.7,226
522.8,227
522.9,228
523.0,229
523.1,230
523.2,230
523.3,231
523.4,232
523.5,233
523.6,234
523.7,234
523.8,235
523.9,236
524.0,237
524.1,238
