nm,INT
500.0,51
500.1,49
500.2,47
500.3,44
500.4,42
500.5,40
500.6,37
500.7,35
500.8,32
500.9,30
501.0,28
501.1,26
501.2,24
501.3,21
501.4,20
501.5,18
501.6,16
501.7,14
501.8,13
501.9,11
502.0,10
502.1,9
502.2,7
502.3,6
502.4,5
502.5,5
502.6,4
502.7,3
502.8,3
502.9,2
503.0,2
503.1,2
503.2,1
503.3,1
503.4,1
503.5,1
503.6,1
503.7,1
503.8,1
503.9,1
504.0,1
504.1,2
504.2,2
504.3,3
504.4,3
504.5,3
504.6,4
504.7,4
504.8,4
504.9,4
505.0,5
505.1,5
505.2,5
505.3,5
505.4,5
505.5,5
505.6,5
505.7,5
505.8,6
505.9,6
506.0,6
506.1,7
506.2,7
506.3,8
506.4,9
506.5,10
506.6,11
506.7,13
506.8,14
506.9,16
507.0,18
507.1,19
507.2,21
507.3,23
507.4,24
507.5,26
507.6,27
507.7,29
507.8,31
507.9,32
508.0,34
508.1,36
508.2,38
508.3,40
508.4,42
508.5,44
508.6,46
508.7,48
508.8,50
508.9,52
509.0,54
509.1,56
509.2,58
509.3,59
509.4,61
509.5,63
509.6,65
509.7,66
509.8,68
509.9,70
510.0,72
510.1,74
510.2,76
510.3,79
510.4,81
510.5,83
510.6,86
510.7,88
510.8,91
510.9,93
511.0,96
511.1,98
511.2,101
511.3,103
511.4,105
511.5,107
511.6,109
511.7,111
511.8,112
511.9,114
512.0,116
512.1,117
512.2,119
512.3,120
512.4,122
512.5,123
512.6,125
512.7,126
512.8,127
512.9,129
513.0,130
513.1,131
513.2,132
513.3,133
513.4,133
513.5,134
513.6,134
513.7,134
513.8,134
513.9,134
514.0,134
514.1,133
514.2,132
514.3,131
514.4,130
514.5,129
514.6,128
514.7,126
514.8,125
514.9,123
515.0,122
515.1,120
515.2,118
515.3,116
515.4,113
515.5,111
515.6,109
515.7,106
515.8,104
515.9,102
516.0,99
516.1,97
516.2,95
516.3,93
516.4,91
516.5,88
516.6,86
516.7,85
516.8,83
516.9,81
517.0,80
517.1,78
517.2,77
517.3,76
517.4,75
517.5,74
517.6,74
517.7,73
517.8,73
517.9,73
518.0,74
518.1,74
518.2,75
518.3,76
518.4,78
518.5,80
518.6,82
518.7,85
518.8,88
518.9,91
519.0,95
519.1,99
519.2,104
519.3,109
519.4,114
519.5,120
519.6,126
519.7,132
519.8,138
519.9,144
520.0,150
520.1,156
520.2,162
520.3,168
520.4,175
520.5,180
520.6,186
520.7,192
520.8,197
520.9,203
521.0,208
521.1,213
521.2,218
521.3,223
521.4,228
521.5,233
521.6,237
521.7,242
521.8,247
521.9,252
522.0,256
522.1,261
522.2,266
522.3,270
522.4,275
522.5,279
522.6,283
522.7,287
522.8,291
522.9,295
523.0,298
523.1,301
523.2,304
523.3,307
523.4,310
523.5,313
523.6,316
523.7,319
523.8,323
523.9,327
524.0,331
524.1,335
524.2,339
524.3,343
524.4,348
524.5,353
524.6,358
524.7,363
524.8,368
524.9,374
525.0,380
525.1,386
525.2,393
525.3,400
525.4,408
525.5,416
525.6,424
525.7,433
525.8,442
525.9,451
526.0,461
526.1,471
526.2,481
526.3,492
526.4,503
526.5,514
526.6,526
526.7,536
526.8,548
526.9,559
527.0,571
527.1,583
527.2,594
527.3,607
527.4,619
527.5,631
527.6,644
527.7,657
527.8,670
527.9,685
528.0,699
528.1,714
528.2,730
528.3,744
528.4,759
528.5,775
528.6,791
528.7,807
528.8,822
528.9,837
529.0,852
529.1,866
529.2,881
529.3,895
529.4,909
529.5,923
529.6,938
529.7,952
529.8,966
529.9,980
530.0,994
530.1,1009
530.2,1024
530.3,1038
530.4,1054
530.5,1069
530.6,1084
530.7,1099
530.8,1115
530.9,1130
531.0,1146
531.1,1162
531.2,1178
531.3,1195
531.4,1210
531.5,1226
531.6,1243
531.7,1260
531.8,1276
531.9,1294
532.0,1311
532.1,1330
532.2,1348
532.3,1366
532.4,1385
532.5,1404
532.6,1424
532.7,1444
532.8,1463
532.9,1481
533.0,1500
533.1,1520
533.2,1539
533.3,1559
533.4,1578
533.5,1598
533.6,1617
533.7,1637
533.8,1656
533.9,1677
534.0,1697
534.1,1717
534.2,1737
534.3,1758
534.4,1778
534.5,1797
534.6,1818
534.7,1839
534.8,1860
534.9,1882
535.0,1903
535.1,1925
535.2,1946
535.3,1967
535.4,1988
535.5,2010
535.6,2031
535.7,2052
535.8,2073
535.9,2093
536.0,2112
536.1,2132
536.2,2153
536.3,2173
536.4,2193
536.5,2213
536.6,2233
536.7,2253
536.8,2273
536.9,2293
537.0,2312
537.1,2332
537.2,2352
537.3,2373
537.4,2394
537.5,2415
537.6,2434
537.7,2456
537.8,2478
537.9,2501
538.0,2523
538.1,2545
538.2,2567
538.3,2589
538.4,2612
538.5,2634
538.6,2656
538.7,2678
538.8,2700
538.9,2722
539.0,2745
539.1,2767
539.2,2788
539.3,2811
539.4,2834
539.5,2857
539.6,2881
539.7,2905
539.8,2928
539.9,2951
540.0,2975
540.1,2999
540.2,3023
540.3,3046
540.4,3069
540.5,3092
540.6,3115
540.7,3137
540.8,3159
540.9,3181
541.0,3202
541.1,3223
541.2,3244
541.3,3266
541.4,3287
541.5,3308
541.6,3329
541.7,3350
541.8,3372
541.9,3394
542.0,3417
542.1,3439
542.2,3460
542.3,3482
542.4,3505
542.5,3528
542.6,3550
542.7,3571
542.8,3593
542.9,3615
543.0,3636
543.1,3659
543.2,3683
543.3,3707
543.4,3731
543.5,3756
543.6,3783
543.7,3810
543.8,3836
543.9,3865
544.0,3894
544.1,3925
544.2,3956
544.3,3989
544.4,4021
544.5,4054
544.6,4088
544.7,4122
544.8,4158
544.9,4195
545.0,4231
545.1,4269
545.2,4307
545.3,4343
545.4,4383
545.5,4424
545.6,4466
545.7,4509
545.8,4553
545.9,4600
546.0,4647
546.1,4695
546.2,4744
546.3,4794
546.4,4846
546.5,4898
546.6,4951
546.7,5005
546.8,5059
546.9,5112
547.0,5166
547.1,5221
547.2,5275
547.3,5330
547.4,5384
547.5,5439
547.6,5494
547.7,5550
547.8,5607
547.9,5666
548.0,5724
548.1,5784
548.2,5843
548.3,5907
548.4,5971
548.5,6034
548.6,6095
548.7,6157
548.8,6219
548.9,6281
549.0,6345
549.1,6408
549.2,6470
549.3,6532
549.4,6594
549.5,6655
549.6,6718
549.7,6781
549.8,6843
549.9,6905
550.0,6968
550.1,7031
550.2,7096
550.3,7162
550.4,7228
550.5,7295
550.6,7362
550.7,7431
550.8,7503
550.9,7575
551.0,7647
551.1,7719
551.2,7793
551.3,7867
551.4,7945
551.5,8023
551.6,8100
551.7,8178
551.8,8258
551.9,8339
552.0,8423
552.1,8509
552.2,8594
552.3,8679
552.4,8767
552.5,8855
552.6,8946
552.7,9042
552.8,9139
552.9,9231
553.0,9324
553.1,9418
553.2,9513
553.3,9610
553.4,9709
553.5,9806
553.6,9903
553.7,10001
553.8,10100
553.9,10201
554.0,10304
554.1,10404
554.2,10506
554.3,10608
554.4,10714
554.5,10820
554.6,10925
554.7,11031
554.8,11136
554.9,11242
555.0,11348
555.1,11456
555.2,11566
555.3,11671
555.4,11777
555.5,11882
555.6,11991
555.7,12098
555.8,12203
555.9,12308
556.0,12413
556.1,12518
556.2,12623
556.3,12731
556.4,12841
556.5,12946
556.6,13053
556.7,13159
556.8,13265
556.9,13374
557.0,13485
557.1,13592
557.2,13708
557.3,13815
557.4,13921
557.5,14031
557.6,14141
557.7,14246
557.8,14352
557.9,14458
558.0,14564
558.1,14675
558.2,14787
558.3,14895
558.4,15004
558.5,15114
558.6,15226
558.7,15343
558.8,15462
558.9,15578
559.0,15695
559.1,15814
559.2,15934
559.3,16060
559.4,16188
559.5,16312
559.6,16438
559.7,16566
559.8,16696
559.9,16831
560.0,16969
560.1,17103
560.2,17239
560.3,17376
560.4,17516
560.5,17662
560.6,17809
560.7,17954
560.8,18099
560.9,18247
561.0,18395
561.1,18550
561.2,18706
561.3,18858
561.4,19011
561.5,19166
561.6,19333
561.7,19496
561.8,19660
561.9,19827
562.0,19990
562.1,20155
562.2,20322
562.3,20491
562.4,20666
562.5,20845
562.6,21018
562.7,21193
562.8,21369
562.9,21553
563.0,21737
563.1,21916
563.2,22095
563.3,22275
563.4,22456
563.5,22638
563.6,22827
563.7,23018
563.8,23203
563.9,23389
564.0,23575
564.1,23770
564.2,23964
564.3,24152
564.4,24342
564.5,24533
564.6,24725
564.7,24919
564.8,25119
564.9,25322
565.0,25518
565.1,25715
565.2,25912
565.3,26110
565.4,26315
565.5,26522
565.6,26722
565.7,26921
565.8,27121
565.9,27334
566.0,27550
566.1,27759
566.2,27961
566.3,28164
566.4,28367
566.5,28571
566.6,28783
566.7,28995
566.8,29200
566.9,29406
567.0,29612
567.1,29818
567.2,30031
567.3,30246
567.4,30453
567.5,30661
567.6,30870
567.7,31080
567.8,31299
567.9,31518
568.0,31731
568.1,31946
568.2,32163
568.3,32381
568.4,32608
568.5,32838
568.6,33060
568.7,33284
568.8,33509
568.9,33735
569.0,33970
569.1,34205
569.2,34433
569.3,34662
569.4,34891
569.5,35120
569.6,35357
569.7,35595
569.8,35826
569.9,36057
570.0,36289
570.1,36522
570.2,36763
570.3,37014
570.4,37264
570.5,37499
570.6,37737
570.7,37975
570.8,38215
570.9,38464
571.0,38716
571.1,38959
571.2,39204
571.3,39449
571.4,39706
571.5,39960
571.6,40207
571.7,40454
571.8,40700
571.9,40946
572.0,41193
572.1,41447
572.2,41704
572.3,41952
572.4,42199
572.5,42447
572.6,42704
572.7,42959
572.8,43205
572.9,43451
573.0,43696
573.1,43940
573.2,44182
573.3,44430
573.4,44679
573.5,44915
573.6,45149
573.7,45382
573.8,45613
573.9,45852
574.0,46094
574.1,46324
574.2,46552
574.3,46781
574.4,47021
574.5,47258
574.6,47487
574.7,47718
574.8,47969
574.9,48199
575.0,48429
575.1,48671
575.2,48913
575.3,49146
575.4,49379
575.5,49613
575.6,49846
575.7,50090
575.8,50335
575.9,50568
576.0,50800
576.1,51034
576.2,51268
576.3,51514
576.4,51760
576.5,51997
576.6,52235
576.7,52477
576.8,52721
576.9,52980
577.0,53242
577.1,53490
577.2,53725
577.3,53979
577.4,54236
577.5,54495
577.6,54756
577.7,55018
577.8,55261
577.9,55534
578.0,55800
578.1,56048
578.2,56314
578.3,56560
578.4,56839
578.5,57120
578.6,57383
578.7,57633
578.8,57904
578.9,58178
579.0,58451
579.1,58724
579.2,59001
579.3,59301
579.4,59576
579.5,59850
579.6,60141
579.7,60441
579.8,60733
579.9,61007
580.0,61280
580.1,61553
580.2,61843
580.3,62141
580.4,62429
580.5,62699
580.6,62969
580.7,63263
580.8,63536
580.9,63828
581.0,64115
581.1,64393
581.2,64683
581.3,64953
581.4,65223
581.5,65512
581.6,65810
581.7,66094
581.8,66359
581.9,66627
582.0,66914
582.1,67176
582.2,67439
582.3,67723
582.4,68018
582.5,68300
582.6,68566
582.7,68835
582.8,69105
582.9,69394
583.0,69700
583.1,69999
583.2,70281
583.3,70583
583.4,70864
583.5,71145
583.6,71455
583.7,71771
583.8,72071
583.9,72355
584.0,72640
584.1,72924
584.2,73229
584.3,73520
584.4,73824
584.5,74136
584.6,74421
584.7,74729
584.8,75011
584.9,75293
585.0,75601
585.1,75920
585.2,76221
585.3,76504
585.4,76788
585.5,77096
585.6,77384
585.7,77695
585.8,78004
585.9,78291
586.0,78594
586.1,78873
