nm,INT
549.7,7728
549.8,7805
549.9,7883
550.0,7961
550.1,8041
550.2,8123
550.3,8206
550.4,8287
550.5,8369
550.6,8451
550.7,8534
550.8,8620
550.9,8706
551.0,8790
551.1,8875
551.2,8961
551.3,9047
551.4,9136
551.5,9226
551.6,9315
551.7,9404
551.8,9493
551.9,9584
552.0,9678
552.1,9773
552.2,9866
552.3,9960
552.4,10055
552.5,10151
552.6,10252
552.7,10358
552.8,10466
552.9,10569
553.0,10673
553.1,10779
553.2,10885
553.3,10994
553.4,11105
553.5,11214
553.6,11323
553.7,11433
553.8,11542
553.9,11654
554.0,11767
554.1,11878
554.2,11989
554.3,12101
554.4,12217
554.5,12332
554.6,12446
554.7,12560
554.8,12676
554.9,12792
555.0,12909
555.1,13030
555.2,13153
555.3,13272
555.4,13393
555.5,13513
555.6,13639
555.7,13763
555.8,13885
555.9,14007
556.0,14130
556.1,14253
556.2,14376
556.3,14502
556.4,14631
556.5,14755
556.6,14880
556.7,15007
556.8,15133
556.9,15263
557.0,15395
557.1,15523
557.2,15663
557.3,15792
557.4,15921
557.5,16056
557.6,16191
557.7,16322
557.8,16454
557.9,16587
558.0,16720
558.1,16860
558.2,17000
558.3,17136
558.4,17274
558.5,17412
558.6,17552
558.7,17699
558.8,17847
558.9,17992
559.0,18138
559.1,18287
559.2,18438
559.3,18596
559.4,18756
559.5,18913
559.6,19071
559.7,19230
559.8,19390
559.9,19557
560.0,19725
560.1,19889
560.2,20053
560.3,20218
560.4,20384
560.5,20557
560.6,20733
560.7,20903
560.8,21076
560.9,21250
561.0,21426
561.1,21609
561.2,21794
561.3,21974
561.4,22156
561.5,22340
561.6,22539
561.7,22731
561.8,22925
561.9,23123
562.0,23315
562.1,23510
562.2,23706
562.3,23904
562.4,24109
562.5,24317
562.6,24518
562.7,24720
562.8,24923
562.9,25136
563.0,25347
563.1,25554
563.2,25761
563.3,25970
563.4,26181
563.5,26393
563.6,26613
563.7,26837
563.8,27054
563.9,27272
564.0,27492
564.1,27722
564.2,27950
564.3,28172
564.4,28396
564.5,28621
564.6,28848
564.7,29077
564.8,29314
564.9,29555
565.0,29789
565.1,30025
565.2,30262
565.3,30501
565.4,30749
565.5,31001
565.6,31243
565.7,31487
565.8,31731
565.9,31992
566.0,32256
566.1,32511
566.2,32757
566.3,33004
566.4,33251
566.5,33498
566.6,33752
566.7,34007
566.8,34253
566.9,34499
567.0,34743
567.1,34987
567.2,35239
567.3,35491
567.4,35734
567.5,35978
567.6,36223
567.7,36468
567.8,36724
567.9,36980
568.0,37228
568.1,37476
568.2,37726
568.3,37976
568.4,38237
568.5,38499
568.6,38751
568.7,39004
568.8,39257
568.9,39510
569.0,39772
569.1,40035
569.2,40289
569.3,40543
569.4,40798
569.5,41053
569.6,41317
569.7,41582
569.8,41838
569.9,42095
570.0,42353
570.1,42613
570.2,42883
570.3,43165
570.4,43444
570.5,43708
570.6,43974
570.7,44241
570.8,44509
570.9,44787
571.0,45069
571.1,45339
571.2,45610
571.3,45881
571.4,46164
571.5,46444
571.6,46716
571.7,46987
571.8,47259
571.9,47531
572.0,47803
572.1,48085
572.2,48370
572.3,48645
572.4,48920
572.5,49197
572.6,49486
572.7,49773
572.8,50052
572.9,50331
573.0,50610
573.1,50891
573.2,51172
573.3,51462
573.4,51757
573.5,52039
573.6,52322
573.7,52604
573.8,52888
573.9,53182
574.0,53482
574.1,53769
574.2,54058
574.3,54349
574.4,54655
574.5,54960
574.6,55257
574.7,55559
574.8,55888
574.9,56193
575.0,56499
575.1,56819
575.2,57141
575.3,57452
575.4,57765
575.5,58079
575.6,58394
575.7,58723
575.8,59054
575.9,59372
576.0,59691
576.1,60011
576.2,60332
576.3,60668
576.4,61005
576.5,61329
576.6,61654
576.7,61980
576.8,62306
576.9,62648
577.0,62991
577.1,63316
577.2,63622
577.3,63952
577.4,64283
577.5,64614
577.6,64948
577.7,65281
577.8,65590
577.9,65936
578.0,66271
578.1,66584
578.2,66917
578.3,67224
578.4,67567
578.5,67912
578.6,68235
578.7,68541
578.8,68871
578.9,69200
579.0,69529
579.1,69855
579.2,70182
579.3,70532
579.4,70850
579.5,71166
579.6,71497
579.7,71837
579.8,72163
579.9,72465
580.0,72765
580.1,73061
580.2,73373
580.3,73696
580.4,74007
580.5,74296
580.6,74583
580.7,74894
580.8,75181
580.9,75491
581.0,75794
581.1,76088
581.2,76395
581.3,76681
581.4,76968
581.5,77277
581.6,77602
581.7,77911
581.8,78202
581.9,78495
582.0,78813
582.1,79103
582.2,79394
582.3,79709
582.4,80035
582.5,80344
582.6,80633
582.7,80923
582.8,81213
582.9,81521
583.0,81849
583.1,82167
583.2,82466
583.3,82784
583.4,83080
583.5,83377
583.6,83710
583.7,84050
583.8,84371
583.9,84678
584.0,84988
584.1,85300
584.2,85637
584.3,85962
584.4,86305
584.5,86660
584.6,86986
584.7,87340
584.8,87667
584.9,87996
585.0,88357
585.1,88731
585.2,89085
585.3,89420
585.4,89756
585.5,90121
585.6,90466
585.7,90838
585.8,91211
585.9,91559
586.0,91931
586.1,92277
586.2,92626
586.3,92977
586.4,93377
586.5,93789
586.6,94147
586.7,94506
586.8,94867
586.9,95257
587.0,95630
587.1,96023
587.2,96438
587.3,96828
587.4,97192
587.5,97555
587.6,97919
587.7,98303
587.8,98713
587.9,99119
588.0,99482
588.1,99843
588.2,100233
588.3,100597
588.4,100990
588.5,101381
588.6,101739
588.7,102117
588.8,102463
588.9,102807
589.0,103149
589.1,103540
589.2,103940
589.3,104277
589.4,104613
589.5,104977
589.6,105311
589.7,105640
589.8,105999
589.9,106379
590.0,106725
590.1,107046
590.2,107365
590.3,107684
