nm,INT
500.0,3
500.1,3
500.2,3
500.3,3
500.4,3
500.5,3
500.6,3
500.7,3
500.8,2
500.9,2
501.0,2
501.1,2
501.2,2
501.3,1
501.4,1
501.5,1
501.6,1
501.7,0
501.8,0
501.9,0
502.0,0
502.1,0
502.2,0
502.3,0
502.4,0
502.5,0
502.6,0
502.7,0
502.8,0
502.9,0
503.0,0
503.1,0
503.2,0
503.3,0
503.4,0
503.5,0
503.6,0
503.7,0
503.8,0
503.9,0
504.0,0
504.1,0
504.2,0
504.3,0
504.4,0
504.5,0
504.6,0
504.7,0
504.8,0
504.9,0
505.0,0
505.1,0
505.2,0
505.3,0
505.4,0
505.5,0
505.6,0
505.7,0
505.8,0
505.9,0
506.0,0
506.1,0
506.2,0
506.3,0
506.4,0
506.5,0
506.6,0
506.7,0
506.8,0
506.9,0
507.0,1
507.1,1
507.2,1
507.3,2
507.4,3
507.5,4
507.6,5
507.7,7
507.8,8
507.9,10
508.0,11
508.1,13
508.2,15
508.3,16
508.4,18
508.5,19
508.6,21
508.7,22
508.8,24
508.9,25
509.0,26
509.1,28
509.2,29
509.3,30
509.4,31
509.5,32
509.6,33
509.7,34
509.8,35
509.9,35
510.0,36
510.1,36
510.2,36
510.3,36
510.4,36
510.5,36
510.6,37
510.7,37
510.8,37
510.9,37
511.0,37
511.1,37
511.2,37
511.3,37
511.4,37
511.5,37
511.6,36
511.7,36
511.8,36
511.9,36
512.0,36
512.1,35
512.2,35
512.3,34
512.4,33
512.5,32
512.6,31
512.7,29
512.8,28
512.9,26
513.0,25
513.1,23
513.2,21
513.3,19
513.4,18
513.5,16
513.6,15
513.7,14
513.8,12
513.9,11
514.0,9
514.1,8
514.2,7
514.3,6
514.4,5
514.5,4
514.6,3
514.7,2
514.8,2
514.9,1
515.0,1
515.1,1
515.2,0
515.3,0
515.4,0
515.5,0
515.6,0
515.7,0
515.8,0
515.9,0
516.0,0
516.1,0
516.2,0
516.3,1
516.4,1
516.5,1
516.6,1
516.7,1
516.8,1
516.9,2
517.0,2
517.1,2
517.2,3
517.3,3
517.4,4
517.5,5
517.6,5
517.7,6
517.8,7
517.9,8
518.0,9
518.1,10
518.2,11
518.3,12
518.4,13
518.5,14
518.6,15
518.7,16
518.8,17
518.9,19
519.0,20
519.1,22
519.2,25
519.3,27
519.4,30
519.5,33
519.6,36
519.7,40
519.8,44
519.9,48
520.0,52
520.1,56
520.2,60
520.3,64
520.4,68
520.5,71
