nm,INT
395.6,94657
395.7,94836
395.8,95019
395.9,95193
396.0,95359
396.1,95534
396.2,95723
396.3,95902
396.4,96099
396.5,96299
396.6,96487
396.7,96667
396.8,96856
396.9,97064
397.0,97274
397.1,97458
397.2,97638
397.3,97854
397.4,98071
397.5,98274
397.6,98466
397.7,98667
397.8,98885
397.9,99092
398.0,99315
398.1,99540
398.2,99740
398.3,99925
398.4,100149
398.5,100372
398.6,100581
398.7,100777
398.8,100973
398.9,101195
399.0,101417
399.1,101625
399.2,101818
399.3,102020
399.4,102244
399.5,102456
399.6,102686
399.7,102920
399.8,103125
399.9,103312
400.0,103548
400.1,103786
400.2,104010
400.3,104212
400.4,104413
400.5,104650
400.6,104888
400.7,105109
400.8,105306
400.9,105511
401.0,105752
401.1,105995
401.2,106222
401.3,106419
401.4,106636
401.5,106888
401.6,107141
401.7,107380
401.8,107638
401.9,107856
402.0,108076
402.1,108339
402.2,108588
402.3,108859
402.4,109073
402.5,109307
402.6,109580
402.7,109840
402.8,110124
402.9,110411
403.0,110642
403.1,110867
403.2,111144
403.3,111445
403.4,111752
403.5,112063
403.6,112315
403.7,112533
403.8,112857
403.9,113187
404.0,113521
404.1,113777
404.2,114021
404.3,114365
404.4,114714
404.5,115065
404.6,115313
404.7,115577
404.8,115930
404.9,116286
405.0,116644
405.1,116982
405.2,117257
405.3,117518
405.4,117883
405.5,118253
405.6,118601
405.7,118875
405.8,119164
405.9,119549
406.0,119939
406.1,120302
406.2,120691
406.3,121011
406.4,121291
406.5,121668
406.6,122080
406.7,122493
406.8,122804
406.9,123104
407.0,123493
407.1,123913
407.2,124336
407.3,124635
407.4,124953
407.5,125352
407.6,125777
407.7,126204
407.8,126631
407.9,126938
408.0,127224
408.1,127654
408.2,128085
408.3,128518
408.4,128807
408.5,129117
408.6,129552
408.7,129989
408.8,130430
408.9,130707
409.0,131049
409.1,131497
409.2,131948
409.3,132400
409.4,132823
409.5,133153
409.6,133500
409.7,133959
409.8,134420
409.9,134845
410.0,135295
410.1,135669
410.2,136007
410.3,136465
410.4,136891
410.5,137344
410.6,137708
410.7,138071
410.8,138524
410.9,138948
411.0,139402
411.1,139859
411.2,140245
411.3,140594
411.4,141021
411.5,141484
411.6,141948
411.7,142343
411.8,142728
411.9,143171
412.0,143650
412.1,144134
412.2,144619
412.3,145046
412.4,145439
412.5,145930
412.6,146423
412.7,146884
412.8,147328
412.9,147778
413.0,148269
413.1,148755
413.2,149203
413.3,149652
413.4,150115
413.5,150593
413.6,151069
413.7,151501
413.8,151962
413.9,152431
414.0,152894
414.1,153350
414.2,153769
414.3,154214
414.4,154694
414.5,155173
414.6,155615
414.7,156027
414.8,156466
414.9,156964
415.0,157444
415.1,157871
415.2,158272
415.3,158703
415.4,159128
415.5,159621
415.6,160096
415.7,160481
415.8,160888
415.9,161290
416.0,161687
416.1,162137
416.2,162615
416.3,163001
416.4,163376
416.5,163745
416.6,164187
416.7,164639
416.8,164993
416.9,165340
417.0,165679
417.1,166117
417.2,166535
417.3,166858
417.4,167176
417.5,167491
417.6,167783
417.7,168183
417.8,168634
417.9,168939
418.0,169240
418.1,169519
418.2,169934
418.3,170356
418.4,170647
418.5,170934
418.6,171193
418.7,171463
418.8,171843
418.9,172254
419.0,172494
419.1,172748
419.2,172995
419.3,173367
419.4,173726
419.5,173940
419.6,174162
419.7,174378
419.8,174740
419.9,175047
420.0,175238
420.1,175438
420.2,175632
420.3,175824
420.4,176119
420.5,176429
420.6,176613
420.7,176795
420.8,176974
420.9,177272
421.0,177549
421.1,177719
421.2,177887
421.3,178052
421.4,178347
421.5,178588
421.6,178743
421.7,178896
421.8,179044
421.9,179177
422.0,179420
422.1,179662
422.2,179792
422.3,179918
422.4,180030
422.5,180145
422.6,180339
422.7,180560
422.8,180661
422.9,180753
423.0,180850
423.1,181036
423.2,181221
423.3,181313
423.4,181399
423.5,181491
423.6,181586
423.7,181749
423.8,181939
423.9,182032
424.0,182134
424.1,182237
424.2,182413
424.3,182586
424.4,182684
424.5,182791
424.6,182899
424.7,183008
424.8,183161
424.9,183339
425.0,183449
425.1,183560
425.2,183666
425.3,183818
425.4,183993
425.5,184104
425.6,184208
425.7,184320
425.8,184480
425.9,184636
426.0,184741
426.1,184854
426.2,184966
426.3,185124
426.4,185262
426.5,185361
426.6,185465
426.7,185567
426.8,185700
426.9,185817
427.0,185910
427.1,186000
427.2,186082
427.3,186167
427.4,186278
427.5,186386
427.6,186464
427.7,186551
427.8,186638
427.9,186743
428.0,186845
428.1,186931
428.2,187015
428.3,187090
428.4,187187
428.5,187277
428.6,187351
428.7,187419
428.8,187478
428.9,187536
429.0,187604
429.1,187668
429.2,187714
429.3,187763
429.4,187809
429.5,187864
429.6,187914
429.7,187955
429.8,187996
429.9,188031
430.0,188069
430.1,188113
430.2,188160
430.3,188197
430.4,188238
430.5,188281
430.6,188327
430.7,188376
430.8,188425
430.9,188475
431.0,188528
431.1,188583
431.2,188638
431.3,188693
431.4,188747
431.5,188799
431.6,188855
431.7,188914
431.8,188972
431.9,189026
432.0,189087
432.1,189149
432.2,189211
432.3,189271
432.4,189334
432.5,189396
432.6,189452
432.7,189511
432.8,189570
432.9,189627
433.0,189684
433.1,189735
433.2,189790
433.3,189849
433.4,189911
433.5,189972
433.6,190044
433.7,190120
433.8,190200
433.9,190284
434.0,190376
434.1,190473
434.2,190568
434.3,190672
434.4,190780
434.5,190883
434.6,190980
434.7,191086
434.8,191196
434.9,191302
435.0,191402
435.1,191508
435.2,191613
435.3,191719
435.4,191826
435.5,191936
435.6,192049
435.7,192165
435.8,192273
435.9,192392
436.0,192518
436.1,192639
436.2,192756
436.3,192885
436.4,193025
436.5,193160
436.6,193291
436.7,193435
436.8,193585
436.9,193737
437.0,193892
437.1,194051
437.2,194209
437.3,194357
437.4,194518
437.5,194687
437.6,194856
437.7,195015
437.8,195163
437.9,195319
438.0,195477
438.1,195634
438.2,195792
438.3,195952
438.4,196112
438.5,196261
438.6,196417
438.7,196582
438.8,196738
438.9,196882
439.0,197036
439.1,197194
439.2,197346
439.3,197486
439.4,197636
439.5,197790
439.6,197941
439.7,198095
439.8,198259
439.9,198427
440.0,198600
440.1,198767
440.2,198935
440.3,199110
440.4,199290
440.5,199457
440.6,199634
440.7,199798
440.8,199953
440.9,200115
441.0,200290
441.1,200465
441.2,200602
441.3,200745
441.4,200918
441.5,201095
441.6,201263
441.7,201442
441.8,201595
441.9,201733
442.0,201906
442.1,202097
442.2,202292
442.3,202439
442.4,202582
442.5,202769
442.6,202975
442.7,203185
442.8,203318
442.9,203464
443.0,203681
443.1,203901
443.2,204103
443.3,204225
443.4,204377
443.5,204588
443.6,204789
443.7,205006
443.8,205224
443.9,205346
444.0,205452
444.1,205671
444.2,205893
444.3,206121
444.4,206226
444.5,206353
444.6,206590
444.7,206832
444.8,207061
444.9,207172
445.0,207330
445.1,207583
445.2,207827
445.3,208098
445.4,208375
445.5,208520
445.6,208644
445.7,208928
445.8,209218
445.9,209492
446.0,209631
446.1,209781
446.2,210073
446.3,210348
446.4,210646
446.5,210946
446.6,211107
446.7,211203
446.8,211473
446.9,211764
447.0,212054
447.1,212160
447.2,212232
447.3,212508
447.4,212781
447.5,213034
447.6,213103
447.7,213177
447.8,213440
447.9,213687
448.0,213952
448.1,214219
448.2,214315
448.3,214308
448.4,214574
448.5,214840
448.6,215088
448.7,215153
448.8,215147
448.9,215395
449.0,215634
449.1,215851
449.2,215837
449.3,215822
449.4,216030
449.5,216218
449.6,216411
449.7,216598
449.8,216583
449.9,216444
450.0,216606
450.1,216761
450.2,216899
450.3,216826
450.4,216665
450.5,216778
450.6,216892
450.7,216993
450.8,216879
450.9,216676
451.0,216759
451.1,216841
451.2,216917
451.3,216741
451.4,216519
451.5,216573
451.6,216616
451.7,216656
451.8,216441
451.9,216178
452.0,216197
452.1,216207
452.2,216209
452.3,215931
452.4,215649
452.5,215639
452.6,215624
452.7,215606
452.8,215300
452.9,214989
453.0,214957
453.1,214919
453.2,214878
453.3,214525
453.4,214213
453.5,214163
453.6,214113
453.7,214057
453.8,213684
453.9,213356
454.0,213300
454.1,213245
454.2,213195
454.3,212791
454.4,212487
454.5,212434
454.6,212377
454.7,212320
454.8,211909
