nm,INT
500.0,165
500.1,166
500.2,167
500.3,168
500.4,169
500.5,170
500.6,171
500.7,171
500.8,171
500.9,171
501.0,171
501.1,171
501.2,170
501.3,169
501.4,168
501.5,167
501.6,165
501.7,164
501.8,162
501.9,161
502.0,159
502.1,157
502.2,155
502.3,154
502.4,152
502.5,150
502.6,148
502.7,146
502.8,144
502.9,142
503.0,140
503.1,138
503.2,135
503.3,133
503.4,131
503.5,128
503.6,126
503.7,124
503.8,122
503.9,120
504.0,119
504.1,117
504.2,115
504.3,113
504.4,111
504.5,109
504.6,108
504.7,106
504.8,104
504.9,103
505.0,101
505.1,100
505.2,99
505.3,98
505.4,97
505.5,96
505.6,96
505.7,95
505.8,95
505.9,95
506.0,96
506.1,97
506.2,97
506.3,99
506.4,100
506.5,102
506.6,103
506.7,105
506.8,107
506.9,109
507.0,111
507.1,113
507.2,114
507.3,116
507.4,117
507.5,118
507.6,119
507.7,120
507.8,121
507.9,122
508.0,123
508.1,124
508.2,125
508.3,126
508.4,127
508.5,128
508.6,129
508.7,130
508.8,131
508.9,132
509.0,133
509.1,133
509.2,133
509.3,133
509.4,133
509.5,133
509.6,132
509.7,131
509.8,130
509.9,129
510.0,127
510.1,126
510.2,124
510.3,122
510.4,120
510.5,118
510.6,116
510.7,115
510.8,113
510.9,111
511.0,110
511.1,108
511.2,107
511.3,106
511.4,104
511.5,103
511.6,102
511.7,100
511.8,99
511.9,97
512.0,96
512.1,95
512.2,94
512.3,93
512.4,92
512.5,91
512.6,91
512.7,90
512.8,90
512.9,90
513.0,90
513.1,90
513.2,91
513.3,91
513.4,91
513.5,91
513.6,91
513.7,91
513.8,91
513.9,91
514.0,91
514.1,91
514.2,91
514.3,92
514.4,92
514.5,92
514.6,93
514.7,93
514.8,94
514.9,95
515.0,96
515.1,97
515.2,99
515.3,100
515.4,101
515.5,103
515.6,104
515.7,105
515.8,107
515.9,108
516.0,109
516.1,111
516.2,112
516.3,113
516.4,115
516.5,116
516.6,118
516.7,120
516.8,122
516.9,124
517.0,126
517.1,129
517.2,131
517.3,134
517.4,137
517.5,140
517.6,144
517.7,147
517.8,151
517.9,155
518.0,159
518.1,163
518.2,167
518.3,171
518.4,175
518.5,179
518.6,183
518.7,187
518.8,191
518.9,195
519.0,199
519.1,203
519.2,207
519.3,212
519.4,216
519.5,220
519.6,225
519.7,229
519.8,233
519.9,236
520.0,240
520.1,244
520.2,248
520.3,251
520.4,255
520.5,259
520.6,262
520.7,265
520.8,269
520.9,272
521.0,276
521.1,279
521.2,282
521.3,285
521.4,287
521.5,289
521.6,291
521.7,294
521.8,295
521.9,297
522.0,298
522.1,300
522.2,301
522.3,303
522.4,304
522.5,305
522.6,306
522.7,307
522.8,307
522.9,307
523.0,308
523.1,308
523.2,307
523.3,307
523.4,307
523.5,307
523.6,307
523.7,308
523.8,308
523.9,309
524.0,310
524.1,311
524.2,312
524.3,314
524.4,315
524.5,317
524.6,319
524.7,321
524.8,323
524.9,325
525.0,328
525.1,330
525.2,332
525.3,334
525.4,336
525.5,338
525.6,340
525.7,342
525.8,344
525.9,345
526.0,347
526.1,348
526.2,350
526.3,352
526.4,355
526.5,357
526.6,359
526.7,361
526.8,364
526.9,367
527.0,369
527.1,372
527.2,374
527.3,377
527.4,379
527.5,382
527.6,385
527.7,387
527.8,390
527.9,394
528.0,397
528.1,400
528.2,404
528.3,408
528.4,412
528.5,417
528.6,422
528.7,426
528.8,431
528.9,437
529.0,442
529.1,448
529.2,454
529.3,461
529.4,467
529.5,475
529.6,482
529.7,490
529.8,498
529.9,506
530.0,515
530.1,525
530.2,534
530.3,545
530.4,555
530.5,566
530.6,577
530.7,588
530.8,600
530.9,612
531.0,625
531.1,638
531.2,651
531.3,664
531.4,676
531.5,689
531.6,703
531.7,717
531.8,731
531.9,745
532.0,759
532.1,774
532.2,789
532.3,804
532.4,820
532.5,836
532.6,852
532.7,868
532.8,884
532.9,899
533.0,916
533.1,933
533.2,949
533.3,966
533.4,983
533.5,999
533.6,1016
533.7,1033
533.8,1050
533.9,1067
534.0,1084
534.1,1100
534.2,1117
534.3,1133
534.4,1148
534.5,1163
534.6,1179
534.7,1194
534.8,1208
534.9,1222
535.0,1236
535.1,1249
535.2,1261
535.3,1274
535.4,1285
535.5,1297
535.6,1308
535.7,1319
535.8,1329
535.9,1339
536.0,1348
